average_edges_size;bad_ratio;bad_angle
0.9561653633761987;50;14
0.9561726625402546;50;15
0.9561608556610393;50;15
0.9561760052955044;50;14
0.9561594279428303;51;14
0.9561756737261143;49;15
0.9561562567604159;51;15
0.95617166390656;50;14
0.9561542920188315;51;14
0.9561716019380171;50;14
0.9561690688601779;51;15
0.9561566004887709;49;15
0.9561652827436339;50;14
0.9561511048234783;50;14
0.9561676483804235;50;15
0.9561511521021926;51;15
0.9561683486162801;50;14
0.9561512847823653;49;14
0.9561669154524052;49;15
0.9561481857383868;50;15
0.9561666393058199;49;14
0.9561492672314718;50;14
0.9561676551184026;49;15
0.9561499974446751;49;15
0.9561665742049109;49;14
0.9561473630304853;49;14
0.9561636108671949;49;15
0.9561527485793373;49;15
0.9561640210922142;50;14
0.9561542969442409;48;14
0.9561628537393465;50;15
0.9561522582401268;49;15
0.9561628395820043;50;14
0.9561542180472172;49;14
0.9561641295541002;50;15
0.9561557126924318;48;15
0.9561633337630866;49;14
0.9561509056667561;49;14
0.9561674299577261;49;14
0.9561676379100376;50;15
0.9561549951587185;49;15
0.9561677480369598;49;14
0.9561556610982253;49;14
0.9561654731424661;50;15
0.9561566211827407;49;15
0.9561674046700469;50;14
0.956158705584951;49;14
0.9561690113034934;49;15
0.9561586558514952;49;15
0.9561672868010405;49;14
0.9561567653552844;49;14
0.9561735451351414;49;15
0.9561582206926542;50;15
0.956176124762257;48;14
0.9561581060031934;51;14
0.9561751600741535;50;15
0.9561592193966613;51;15
0.9561782521754233;50;14
0.9561617241776266;51;14
0.9561809632889122;49;15
0.9561622344638193;51;15
0.956180338383712;50;14
0.9561639386051313;50;14
0.95618091748833;50;15
0.956170947155126;50;15
0.9561832940269259;50;14
0.9561725818686474;50;14
0.9561829475213314;51;15
0.9561734745385561;50;15
0.9561827838514124;51;14
0.9561728248936314;50;14
0.9561816661110154;50;15
0.9561699113276869;50;15
0.9561770634078142;51;14
0.9561679649739779;50;14
0.9561764645458684;50;15
0.9561642717392234;50;15
0.9561792651578831;49;14
0.9561604777289296;51;14
0.9561752877800634;50;15
0.9561582309688595;51;15
0.9561751674847219;50;14
0.9561573619090242;51;14
0.9561745727411552;49;15
0.9561544760830941;51;15
0.9561705921998774;50;14
0.9561527641619592;51;14
0.9561707855754898;50;15
0.9561527951544344;49;15
0.9561684625168123;48;14
0.9561553629623293;49;15
0.9561653375395048;50;16
0.9561560891148865;49;16
0.9561671987016807;50;15
0.9561582718991801;49;15
0.9561690434594678;49;16
0.9561586054394317;49;15
0.956165094893974;50;14
0.9561549854183542;49;14
0.9561630999091842;50;15
0.9561528701396083;49;15
0.956160677072326;49;14
0.9561486239600931;49;14
0.9561548353798615;49;15
0.9561423875393399;49;15
0.9561569385244894;49;14
0.9561395311492177;50;14
0.9561551771400537;48;15
0.9561350619172114;50;15
0.9561497929021898;49;14
0.95613168052156;50;14
0.9561483638149173;49;15
0.9561296231174723;50;15
0.9561464629520959;48;14
0.9561255271526876;50;14
0.9561411486811001;49;15
0.9561224547555215;50;15
0.9561398896099196;49;14
0.956120735348629;48;14
0.956135250842186;48;15
0.9561209657211798;48;15
0.9561294505233273;49;14
0.956118779932614;48;14
0.956128472869525;49;15
0.9561182916223927;48;15
0.9561278146205805;48;14
0.9561162128967633;48;14
0.9561241569086395;49;15
0.9561153140285301;48;15
0.9561247818715168;49;14
0.9561158954734283;48;14
0.956125146718687;48;15
0.9561145529844901;47;15
0.9561222338011814;48;14
0.9561112478116774;49;14
0.9561273176510372;48;15
0.9561114424222297;49;15
0.9561286376572787;47;14
0.9561101486945528;48;14
0.9561264054153276;48;15
0.9561098885307034;49;15
0.9561281539256812;48;14
0.9561110281943869;49;14
0.9561294536428787;47;15
0.9561101882861789;48;15
0.9561273512727345;48;14
0.9561102769740785;49;14
0.9561292751179369;48;15
0.9561117285782786;49;15
0.9561307746400094;47;14
0.9561111858318095;47;14
0.9561258629917732;49;15
0.9561155257053705;48;15
0.9561272133625452;49;14
0.9561177074753224;48;14
0.9561287069527806;48;15
0.9561177366327293;47;15
0.9561269283452283;49;14
0.9561186504447194;48;14
0.9561292730864847;49;15
0.9561209341519853;48;15
0.9561312855771097;48;14
0.9561212557039267;47;14
0.9561300118567302;49;15
0.956122556400402;48;15
0.9561328958720376;49;14
0.956125310703024;48;14
0.9561355030593277;47;15
0.9561206725557183;48;15
0.9561337280942899;48;14
0.9561166111973074;49;14
0.9561323727797082;48;15
0.956114102602034;49;15
0.9561301210218195;47;14
0.9561094007126235;48;14
0.9561241388105333;48;15
0.9561053812979791;49;15
0.9561218947485763;48;14
0.9561024806273637;49;14
0.956118967554375;47;15
0.9560973647035459;48;15
0.956112432824444;48;14
0.956092959028132;49;14
0.9561100198885897;48;15
0.9560905552760974;48;15
0.9561079989254037;46;14
0.9560868097888785;46;14
0.9561000776061769;48;15
0.9560883277381333;47;15
0.9560987919640346;48;14
0.9560880046696264;48;14
0.9560979226480328;48;15
0.9560857939753911;47;15
0.9560939862641065;49;14
0.9560845782282742;48;14
0.9560942930756081;49;15
0.9560848589089062;48;15
0.9560943448724738;48;14
0.9560832712245367;47;14
0.9560911487387077;49;15
0.9560825933792081;48;15
0.9560920741893155;49;14
0.9560833553080768;48;14
